dataset,f1,method,param_candidate_count,param_check_layer,param_full_recompute_layer_count,param_oracle_receiver_full_kv,param_profiling_f1,param_profiling_latency_s,param_recompute_layer_count,param_recompute_layers,param_recompute_work_ratio,param_reference_mode,param_selected_count,param_selected_fraction,param_token_recompute_ratio,prefill_latency_s_mean,prefill_latency_s_p50,prefill_latency_s_p95,samples
hotpotqa_50,0.8003809523809522,receiver_full,,,,True,,,,,,,,,,0.05153478905558586,0.04137290455400944,0.0847363376058638,50
hotpotqa_50,0.07471428571428572,full_kv_reuse,,,,False,,,,,,,,,,0.024827599041163922,0.024713649414479733,0.026188867865130305,50
hotpotqa_50,0.2919267399267399,droidspeak_layers_12_13,,,,False,0.26541290429662523,0.03524902787990868,2,"[12, 13]",,,,,,0.029138627890497447,0.02793946210294962,0.029933052882552144,50
hotpotqa_50,0.48158851674641157,droidspeak_layers_14_17,,,,False,0.4551417082357732,0.03771725999191403,4,"[14, 17]",,,,,,0.030039193164557217,0.029472281225025654,0.03228232148103416,50
hotpotqa_50,0.6387965367965369,droidspeak_layers_12_17,,,,False,0.6182039072039074,0.04011740500107407,6,"[12, 17]",,,,,,0.032274954672902825,0.03100715111941099,0.035505533264949915,50
hotpotqa_50,0.6608571428571429,droidspeak_layers_12_19,,,,False,0.6537586273375748,0.04258337010629475,8,"[12, 19]",,,,,,0.03466484528034926,0.03288801480084658,0.03951509497128426,50
hotpotqa_50,0.7536776556776558,droidspeak_layers_10_19,,,,False,0.7423838319202261,0.04520713660866022,10,"[10, 19]",,,,,,0.03700820162892342,0.03479437343776226,0.04225110728293657,50
hotpotqa_50,0.7557142857142857,droidspeak_layers_10_21,,,,False,0.7454436090225565,0.04771264833398163,12,"[10, 21]",,,,,,0.03931147366762161,0.03655698802322149,0.04635506505146622,50
hotpotqa_50,0.7727619047619048,droidspeak_layers_08_21,,,,False,0.7688658008658008,0.05013351809233427,14,"[8, 21]",,,,,,0.041726448517292736,0.03841022588312626,0.05059853140264749,50
hotpotqa_50,0.7937142857142857,droidspeak_layers_10_25,,,,False,0.7937142857142857,0.052673409590497614,16,"[10, 25]",,,,,,0.04437526639550924,0.04065520782023668,0.0547732513397932,50
hotpotqa_50,0.787047619047619,droidspeak_layers_10_27,,,,False,0.787047619047619,0.05546192667447031,18,"[10, 27]",,,,,,0.04700791658833623,0.04230010835453868,0.059811977576464406,50
