dataset,f1,method,param_candidate_count,param_check_layer,param_full_recompute_layer_count,param_oracle_receiver_full_kv,param_profiling_f1,param_profiling_latency_s,param_recompute_layer_count,param_recompute_layers,param_recompute_work_ratio,param_reference_mode,param_selected_count,param_selected_fraction,param_token_recompute_ratio,prefill_latency_s_mean,prefill_latency_s_p50,prefill_latency_s_p95,samples
hotpotqa_50,0.8003809523809522,receiver_full,,,,True,,,,,,,,,,0.051334664337337015,0.040138404816389084,0.08446917003020644,50
hotpotqa_50,0.07471428571428572,full_kv_reuse,,,,False,,,,,,,,,,0.024739938862621783,0.02473899768665433,0.026024788850918412,50
hotpotqa_50,0.2919267399267399,droidspeak_layers_12_13,,,,False,0.26541290429662523,0.03524902787990868,2,"[12, 13]",,,,,,0.028855693154037,0.02790309814736247,0.029624586133286356,50
hotpotqa_50,0.48158851674641157,droidspeak_layers_14_17,,,,False,0.4551417082357732,0.03771725999191403,4,"[14, 17]",,,,,,0.029969770926982164,0.02975671412423253,0.031932589551433924,50
hotpotqa_50,0.6387965367965369,droidspeak_layers_12_17,,,,False,0.6182039072039074,0.04011740500107407,6,"[12, 17]",,,,,,0.03220630748197437,0.03103818465024233,0.035719011910259724,50
hotpotqa_50,0.6608571428571429,droidspeak_layers_12_19,,,,False,0.6537586273375748,0.04258337010629475,8,"[12, 19]",,,,,,0.03459231337532401,0.03319853311404586,0.03906976748257875,50
hotpotqa_50,0.7536776556776558,droidspeak_layers_10_19,,,,False,0.7423838319202261,0.04520713660866022,10,"[10, 19]",,,,,,0.03691849054768682,0.03489760356023908,0.04215863402932882,50
hotpotqa_50,0.7557142857142857,droidspeak_layers_10_21,,,,False,0.7454436090225565,0.04771264833398163,12,"[10, 21]",,,,,,0.03922392347827554,0.03670417796820402,0.046148408297449345,50
hotpotqa_50,0.7727619047619048,droidspeak_layers_08_21,,,,False,0.7688658008658008,0.05013351809233427,14,"[8, 21]",,,,,,0.04169967290014029,0.038427155930548906,0.049849636759608976,50
hotpotqa_50,0.7937142857142857,droidspeak_layers_10_25,,,,False,0.7937142857142857,0.052673409590497614,16,"[10, 25]",,,,,,0.044316607527434826,0.04054742818698287,0.05465269116684794,50
hotpotqa_50,0.787047619047619,droidspeak_layers_10_27,,,,False,0.787047619047619,0.05546192667447031,18,"[10, 27]",,,,,,0.04696750873699784,0.042542149778455496,0.05961450920440255,50
hotpotqa_50,0.7937142857142857,droidspeak_layers_06_25,,,,False,0.7937142857142857,0.05806478277780116,20,"[6, 25]",,,,,,0.04981150902807713,0.04455822054296732,0.06388602470979093,50
hotpotqa_50,0.7950476190476191,droidspeak_layers_10_31,,,,False,0.7950476190476191,0.06418129810132087,22,"[10, 31]",,,,,,0.05236651975661516,0.0468826312571764,0.0674041394609958,50
hotpotqa_50,0.8003809523809522,droidspeak_layers_02_25,,,,False,0.8003809523809522,0.06354750830680132,24,"[2, 25]",,,,,,0.05514496782794595,0.04865893488749862,0.07545133694075046,50
hotpotqa_50,0.8003809523809524,droidspeak_layers_06_31,,,,False,0.8003809523809524,0.06614669017493725,26,"[6, 31]",,,,,,0.058232224341481925,0.05101272091269493,0.08055031881667672,50
hotpotqa_50,0.8203809523809524,droidspeak_layers_04_31,,,,False,0.8203809523809524,0.07233870760537683,28,"[4, 31]",,,,,,0.0614104270003736,0.0533576812595129,0.08571279249154029,50
hotpotqa_50,0.8270476190476189,droidspeak_layers_02_31,,,,False,0.8270476190476189,0.07243136474862695,30,"[2, 31]",,,,,,0.06408620867878198,0.05482226936146617,0.08967188647948204,50
hotpotqa_50,0.8003809523809522,droidspeak_layers_00_31,,,,False,0.8003809523809522,0.07048296926543117,32,"[0, 31]",,,,,,0.06465183675289154,0.055041102692484856,0.09279858232475816,50
